billnumber,billid,billstatusdate,billstatus,billtitle,billdescription,new_column_name
SB33,1967893,2025-02-12,1,Representations depicting nudity and providing a penalty.,"An Act to create 942.09 (1) (e), 942.09 (2) (am) 4. and 942.09 (3m) (a) 3. of the statutes; Relating to: representations depicting nudity and providing a penalty.",
SB34,1967569,2025-02-12,1,Withdrawal of candidacy for certain offices filled at the general election and providing a penalty. (FE),"An Act to create 8.35 (1m), 12.13 (3) (ag) and 12.60 (1) (am) of the statutes; Relating to: withdrawal of candidacy for certain offices filled at the general election and providing a penalty. (FE)",
SB35,1967943,2025-02-12,1,Law enforcement and firefighter annuitants in the Wisconsin Retirement System who are rehired by a participating employer. (FE),"An Act to amend 40.22 (1), 40.22 (2m) (intro.), 40.22 (2r) (intro.) and 40.22 (3) (intro.); to create 40.26 (7) of the statutes; Relating to: law enforcement and firefighter annuitants in the Wisconsin Retirement System who are rehired by a participating employer. (FE)",
SB36,1967767,2025-02-12,1,An income tax exemption for cash tips paid to an employee. (FE),"An Act to repeal 71.63 (6) (n) 1. and 71.63 (6) (n) 2.; to renumber and amend 71.63 (6) (n) (intro.); to amend 71.05 (6) (b) 19. cm., 71.05 (6) (b) 19. dm., 71.05 (6) (b) 28. e., 71.05 (6) (b) 28. f., 71.05 (6) (b) 32. b., 71.05 (6) (b) 32. c., 71.05 (6) (b) 33. b., 71.05 (6) (b) 33. c., 71.05 (6) (b) 35. c., 71.05 (6) (b) 35. d., 71.05 (6) (b) 38. c., 71.05 (6) (b) 38. d., 71.05 (6) (b) 42. c., 71.05 (6) (b) 42. d. and 71.05 (6) (b) 43. f.; to create 71.05 (1) (j) of the statutes; Relating to: an income tax exemption for cash tips paid to an employee. (FE)",
SB37,1967995,2025-02-12,1,Local regulation of vegetable gardens.,An Act to create 66.04075 of the statutes; Relating to: local regulation of vegetable gardens.,
SB38,1967665,2025-02-12,1,Personalized registration plate fees for gold star family special registration plates. (FE),An Act to amend 341.145 (3) of the statutes; Relating to: personalized registration plate fees for gold star family special registration plates. (FE),
SB39,1967692,2025-02-12,1,Establishment of a Palliative Care Council. (FE),An Act to create 15.197 (22m) and 146.695 of the statutes; Relating to: establishment of a Palliative Care Council. (FE),
SB40,1967817,2025-02-12,1,"Flags flown, hung, or displayed from a flagpole or the exterior of state and local buildings and eliminating a related administrative rule.","An Act to create 1.14 (1m) of the statutes; Relating to: flags flown, hung, or displayed from a flagpole or the exterior of state and local buildings and eliminating a related administrative rule.",
SB41,1967641,2025-02-12,1,School safety grants and making an appropriation. (FE),An Act to repeal 20.455 (2) (fc); to create 20.455 (2) (fc) of the statutes; Relating to: school safety grants and making an appropriation. (FE),
AB20,1959087,2025-02-06,1,Allowing certain married persons to claim the earned income tax credit when filing a separate return. (FE),An Act to amend 71.07 (9e) (b); to create 71.07 (9e) (ar) of the statutes; Relating to: allowing certain married persons to claim the earned income tax credit when filing a separate return. (FE),
SB42,1967717,2025-02-12,1,"Permitting pharmacists to prescribe certain contraceptives, extending the time limit for emergency rule procedures, providing an exemption from emergency rule procedures, granting rule-making authority, and providing a penalty. (FE)","An Act to amend 450.095 (title) and 450.095 (3); to create 49.46 (2) (bg), 450.01 (16) (L), 450.095 (1) (ag) and (ar) and 450.095 (2m) of the statutes; Relating to: permitting pharmacists to prescribe certain contraceptives, extending the time limit for emergency rule procedures, providing an exemption from emergency rule procedures, granting rule-making authority, and providing a penalty. (FE)",
SB43,1968044,2025-02-12,1,"Allowing advanced practice nurse prescribers to pronounce the date, time, and place of a patient’s death for purposes of the preparation of death records.","An Act to amend 69.01 (6g); to create 69.01 (1g) and 69.18 (1) (cL) of the statutes; Relating to: allowing advanced practice nurse prescribers to pronounce the date, time, and place of a patient’s death for purposes of the preparation of death records.",
SB44,1967592,2025-02-12,1,Local regulation of fowl.,An Act to create 66.0443 of the statutes; Relating to: local regulation of fowl.,
SJR8,1968020,2025-02-12,1,"Proclaiming February 4, 2025, as Transit Equity Day.","Relating to: proclaiming February 4, 2025, as Transit Equity Day.",
SJR9,1967843,2025-02-12,1,Honoring the life and public service of Justice David T. Prosser Jr.,Relating to: honoring the life and public service of Justice David T. Prosser Jr.,
SJR10,1967792,2025-02-12,1,Proclaiming February 2025 as Black History Month.,Relating to: proclaiming February 2025 as Black History Month.,
AB23,1962311,2025-02-07,1,Establishment of a Palliative Care Council. (FE),An Act to create 15.197 (22m) and 146.695 of the statutes; Relating to: establishment of a Palliative Care Council. (FE),
SB27,1962801,2025-02-07,1,Requiring state employees to perform their work at the offices of their employer. (FE),An Act to create 230.35 (6) of the statutes; Relating to: requiring state employees to perform their work at the offices of their employer. (FE),
AB7,1958669,2025-02-06,1,Requiring local approval for certain wind and solar projects before Public Service Commission approval.,"An Act to amend 66.0401 (1m) (intro.); to create 66.0401 (1r), 66.0401 (4) (h), 196.49 (4m) and 196.491 (3) (d) 9. of the statutes; Relating to: requiring local approval for certain wind and solar projects before Public Service Commission approval.",
AB8,1959159,2025-02-06,1,Agreements for direct primary care.,An Act to create 146.78 and 600.01 (1) (b) 13. of the statutes; Relating to: agreements for direct primary care.,
AB9,1959122,2025-02-06,1,Allowing representatives of certain federally chartered youth membership organizations to provide information to pupils on public school property.,An Act to amend 119.04 (1); to create 118.065 of the statutes; Relating to: allowing representatives of certain federally chartered youth membership organizations to provide information to pupils on public school property.,
AB10,1959218,2025-02-06,1,A sales and use tax exemption for the sale of gun safes. (FE),An Act to amend 77.52 (13) and 77.53 (10); to create 77.54 (75) of the statutes; Relating to: a sales and use tax exemption for the sale of gun safes. (FE),
AB11,1958843,2025-02-06,1,Pelvic exams on unconscious patients and creating an administrative rule related to hospital requirements for pelvic exams on unconscious patients.,An Act to create 50.373 of the statutes; Relating to: pelvic exams on unconscious patients and creating an administrative rule related to hospital requirements for pelvic exams on unconscious patients.,
AB12,1958951,2025-02-06,1,State agency status for certain physician assistants and advanced practice nurses who provide services without compensation for local health departments or school districts. (FE),"An Act to renumber and amend 251.07; to amend 165.25 (6) (c), 251.07 (title), 252.04 (9) and 895.46 (5) (b); to create 251.07 (1) and 252.01 (5) of the statutes; Relating to: state agency status for certain physician assistants and advanced practice nurses who provide services without compensation for local health departments or school districts. (FE)",
AB13,1959015,2025-02-06,1,The suspension of a rule of the Elections Commission.,An Act to create 5.051 of the statutes; Relating to: the suspension of a rule of the Elections Commission.,
AB14,1958879,2025-02-06,1,The suspension of a rule of the Elections Commission.,An Act to create 5.051 of the statutes; Relating to: the suspension of a rule of the Elections Commission.,
AB15,1958808,2025-02-06,1,The suspension of a rule of the Elections Commission.,An Act to create 5.051 of the statutes; Relating to: the suspension of a rule of the Elections Commission.,
AB16,1959192,2025-02-06,1,Repealing an administrative rule of the Department of Natural Resources related to the possession of firearms.,An Act Relating to: repealing an administrative rule of the Department of Natural Resources related to the possession of firearms.,
AB17,1959051,2025-02-06,1,"Creating an employee ownership conversion costs tax credit, a deduction for capital gains from the transfer of a business to employee ownership, and an employee ownership education and outreach program. (FE)","An Act to amend 71.05 (6) (a) 15., 71.21 (4) (a), 71.26 (2) (a) 4., 71.34 (1k) (g) and 71.45 (2) (a) 10.; to create 71.05 (6) (b) 57., 71.07 (12), 71.10 (4) (em), 71.26 (2) (a) 13., 71.28 (12), 71.30 (3) (am), 71.45 (2) (a) 25., 71.47 (12), 71.49 (1) (am), 73.03 (78) and 73.03 (79) of the statutes; Relating to: creating an employee ownership conversion costs tax credit, a deduction for capital gains from the transfer of a business to employee ownership, and an employee ownership education and outreach program. (FE)",
AB18,1958913,2025-02-06,1,Fee waivers for state park vehicle admission receipts to pupils with Every Kid Outdoors passes. (FE),An Act to amend 27.01 (9) (bn) (title); to create 27.01 (9) (bg) of the statutes; Relating to: fee waivers for state park vehicle admission receipts to pupils with Every Kid Outdoors passes. (FE),
AB19,1958737,2025-02-06,1,Increased penalties for crimes against adults at risk; restraining orders for adults at risk; freezing assets of a defendant charged with financial exploitation of an adult at risk; sexual assault of an adult at risk; and providing a penalty.,"An Act to renumber 940.198 (1) (a) and 971.109 (1) (a); to renumber and amend 939.623 (1); to amend 343.12 (7) (c) 9j., 813.12 (5b), 813.123 (6g), 813.125 (5b), 911.01 (4) (c), 939.623 (title), 939.623 (2) (intro.), 939.623 (3), 940.198 (title), 940.198 (1) (b), 940.198 (2) (a), 940.198 (2) (b), 940.198 (2) (c), 940.198 (3) (a), 940.198 (3) (b), 940.198 (3) (c), 940.198 (4), 971.109 (title), 971.109 (2) (a) and 971.109 (2) (c); and to create 813.12 (1) (ab), 813.125 (1) (am) 2., 939.623 (1) (b), 940.198 (1) (ag), 940.225 (1) (e) and 971.109 (1) (ac) of the statutes; Relating to: increased penalties for crimes against adults at risk; restraining orders for adults at risk; freezing assets of a defendant charged with financial exploitation of an adult at risk; sexual assault of an adult at risk; and providing a penalty.",
AB21,1958703,2025-02-06,1,Technical colleges’ lease of their facilities to others. (FE),An Act to amend 38.14 (2) (d) 1. of the statutes; Relating to: technical colleges’ lease of their facilities to others. (FE),
AB22,1958772,2025-02-06,1,"Limitations on the total value of taxable property that may be included in, and the lifespan of, a tax incremental financing district created in the city of Middleton. (FE)","An Act to create 66.1105 (6) (g) 7. and 66.1105 (17) (h) of the statutes; Relating to: limitations on the total value of taxable property that may be included in, and the lifespan of, a tax incremental financing district created in the city of Middleton. (FE)",
AJR3,1958982,2025-02-06,1,Proclaiming January 2025 as Human Trafficking Awareness and Prevention Month in the state of Wisconsin.,Relating to: proclaiming January 2025 as Human Trafficking Awareness and Prevention Month in the state of Wisconsin.,
SB15,1956486,2025-02-05,1,Increased penalties for crimes against adults at risk; restraining orders for adults at risk; freezing assets of a defendant charged with financial exploitation of an adult at risk; sexual assault of an adult at risk; and providing a penalty.,"An Act to renumber 940.198 (1) (a) and 971.109 (1) (a); to renumber and amend 939.623 (1); to amend 343.12 (7) (c) 9j., 813.12 (5b), 813.123 (6g), 813.125 (5b), 911.01 (4) (c), 939.623 (title), 939.623 (2) (intro.), 939.623 (3), 940.198 (title), 940.198 (1) (b), 940.198 (2) (a), 940.198 (2) (b), 940.198 (2) (c), 940.198 (3) (a), 940.198 (3) (b), 940.198 (3) (c), 940.198 (4), 971.109 (title), 971.109 (2) (a) and 971.109 (2) (c); and to create 813.12 (1) (ab), 813.125 (1) (am) 2., 939.623 (1) (b), 940.198 (1) (ag), 940.225 (1) (e) and 971.109 (1) (ac) of the statutes; Relating to: increased penalties for crimes against adults at risk; restraining orders for adults at risk; freezing assets of a defendant charged with financial exploitation of an adult at risk; sexual assault of an adult at risk; and providing a penalty.",
SB16,1956231,2025-02-05,1,Participation in interscholastic athletics and application of the public records and open meetings laws to interscholastic athletic associations.,"An Act to amend 19.32 (1) and 19.82 (1); to create 19.32 (1db), 19.36 (17) and (18), 19.82 (1m) and 118.1335 of the statutes; Relating to: participation in interscholastic athletics and application of the public records and open meetings laws to interscholastic athletic associations.",
SB17,1956294,2025-02-05,1,Special circumstances battery to a community service officer and providing a penalty.,"An Act to amend 940.203 (2) (intro.), (a) and (b) of the statutes; Relating to: special circumstances battery to a community service officer and providing a penalty.",
